0, init, parse, init, parsexml, init, init, adfuller, adfuller, test, I don't know, adfuller, I don't know, init, I don't know, adfuller, adfuller, init
1, init, init, init, init, init, init, init, init, I don't know, I don't know, init, I don't know, init, I don't know, init, I don't know, init
2, setup, setup, setup, setup, setup, setup, setup, setup, setup, I don't know, setup, I don't know, setup, I don't know, setup, I don't know, set_up
3, fetch, fetch, test_healthcheck, fetch, fetch, fetch, fetch, fetch, test_healthcheck, I don't know, test_healthcheck, I don't know, test_healthcheck, I don't know, test_healthcheck, fetch, test_healthcheck
4, eq, eq, eq, eq, eq, eq, eq, comparison, I don't know, I don't know, eq, I don't know, I don't know, I don't know, homogeneity, I don't know, eq
5, flopen, flopen, flopen, flopen, flopen, flopen, fopen, fopen, flopen, flopen, flopen, fopen, flopen, I don't know, fopen, I don't know, flopen
6, nested, flakes, nested, flakes, nested, flakes, flakes, flakes, I don't know, I don't know, closure, I don't know, I don't know, I don't know, I don't know, I don't know, test_closedover
7, raises, print, test, print, raises, block, raises, block, test, I don't know, test, I don't know, I don't know, I don't know, test, I don't know, test_nonvariableinputarg
8, test_switchtobodymode, switchtobodymode, test_switchtobodymode, switchtobodymode, switchtobodymode, switchtobodymode, switchtobodymode, switch, test_switchtobodymode, test_switchtobodymode, test_switchtobodymode, wraptext, test_switchtobodymode, test_switchtobodymode, test_switchtobodymode, I don't know, test_switchtobodymode
9, init, init, init, init, init, init, init, init, init, I don't know, init, I don't know, init, I don't know, init, I don't know, init
10, init, init, init, init, init, init, init, init, I don't know, I don't know, I don't know, init, I don't know, I don't know, init, I don't know, init
11, getattribute, getattribute, getattribute, getattribute, getattribute, getattribute, getattribute, getattribute, getattr, I don't know, getattr, I don't know, getattribute, I don't know, getattr, I don't know, getattribute
12, get, get, get, get, get, get, get, get, I don't know, I don't know, get, I don't know, get, I don't know, get, get, get
13, create, print, create, print, create, create, create, print, I don't know, I don't know, I don't know, I don't know, create, I don't know, I don't know, I don't know, create
14, set_delegation, set_delegation, set_delegation, set_delegation, set_delegation, set_delegation, delegation, init, set_delegation, I don't know, setattr, I don't know, set_delegation, init, I don't know, I don't know, set_delegation
15, close, close, close, close, close, close, close, close, close, I don't know, close, close, close, I don't know, close, close, close
16, create, weapon, create, create, create, create, create, create, create, I don't know, create, create, create, create, create, create, create
17, init, init, init, init, init, init, init, init, I don't know, I don't know, I don't know, I don't know, I don't know, init, init, init, init
18, add, print, add, print, add, add, add, add, add, I don't know, add, I don't know, add, I don't know, add, I don't know, add
19, rollback, logme, rollback, rollback, rollback, remove, error, error, I don't know, I don't know, I don't know, I don't know, I don't know, I don't know, I don't know, I don't know, exit
20, extend, formfield, extend, formfield, extend, formfield, extend, formfield, extend, I don't know, extend, formfield, extend, formfield, window, formfield, test_selectitememptylist
21, get_context_data, get_context_data, update, get_context_data, get_context_data, get_context_data, get_context_data, get_context_data, update, I don't know, get_context_data, get_context_data, get_context_data, get_context_data, get_context_data, get_context_data, get_context_data
22, update, update, update, update, update, update, update, update, update, I don't know, update, I don't know, update, I don't know, update, I don't know, init
23, str, print, str, print, str, str, str, str, str, I don't know, repr, I don't know, repr, I don't know, I don't know, I don't know, str
24, regex, escape, parse, print, parse, join, regex, regex, I don't know, I don't know, join, print, join, I don't know, I don't know, I don't know, init
25, init, init, init, init, init, init, init, init, I don't know, I don't know, I don't know, I don't know, I don't know, I don't know, I don't know, I don't know, init
26, getitem, return, getitem, print, getitem, get, getitem, get, getitem, I don't know, getitem, I don't know, getitem, I don't know, getitem, I don't know, get_absolute_url
27, encodeamazonheaders, prepend, prepend, prepend, prepend, prepend, prepend, parse, prepend, I don't know, prepend, I don't know, update, I don't know, remove, I don't know, encodeamazonheaders
28, init, init, init, init, init, init, init, init, init, I don't know, init, init, init, I don't know, init, init, init
29, call, parse_exception, callable, parse, parse_exception, parse_exception, callable, parse_exception, I don't know, I don't know, I don't know, I don't know, I don't know, I don't know, parse_exception, I don't know, call
30, init, init, init, init, init, init, init, init, I don't know, I don't know, I don't know, I don't know, I don't know, I don't know, init, I don't know, init
31, save, save, save, pop, save, save, save, save, update, I don't know, save, I don't know, update, I don't know, update, save, save
32, init, init, init, init, init, metadata, init, initialize, I don't know, I don't know, I don't know, I don't know, I don't know, I don't know, I don't know, I don't know, init
33, init, debug, init, debug, init, version, init, version, set, I don't know, set, I don't know, set, I don't know, set, I don't know, init
34, run, run, run, run, run, run, run, run, run, I don't know, run, I don't know, run, I don't know, run, I don't know, main
35, init, debug, init, debug, init, debug, init, debug, set, I don't know, set, I don't know, I don't know, I don't know, set, I don't know, init
36, init, parse, init, parsexml, init, parsexml, init, parsexml, append, I don't know, append, I don't know, I don't know, I don't know, I don't know, I don't know, init
37, parse, parse, build, init, init, init, init, init, I don't know, I don't know, I don't know, I don't know, I don't know, I don't know, build, I don't know, init
38, tryimport, import, tryimport, import, tryimport, import, import, import, import, I don't know, import, I don't know, import, I don't know, import, import, tryimport
39, get_parser, get_parser, get_parser, get_parser, get_parser, get_parser, get_parser, get_parser, get, I don't know, get_parser, I don't know, get, I don't know, get_parser, get_parser, get_parser
40, convert, print, convert, formfield, convert, formfield, assert_equal, formfield, format, I don't know, format, I don't know, validate, I don't know, validate, I don't know, test_compile23
41, create, create, create, create, create, create, create, tangible, create, I don't know, create, I don't know, create, create, create, I don't know, create
42, tear_down, tear_down, tear_down, tear_down, tear_down, tear_down, tear_down, tear_down, tear_down, I don't know, tear_down, tear_down, tear_down, I don't know, tear_down, tear_down, tear_down
43, save, save, save, save, save, save, save, save, save, I don't know, save, save, save, save, save, save, save
44, repr, initialized, repr, repr, repr, repr, repr, repr, repr, I don't know, repr, I don't know, repr, I don't know, repr, I don't know, repr
45, create, initialize, create, create, create, scaffold, create, scaffold, create, I don't know, create, I don't know, create, create, create, create, create
46, connect, configure, connect, configure, connect, connect, connect, configure, I don't know, I don't know, set, I don't know, init, I don't know, connect, configure, init
47, init, init, init, init, init, init, init, init, I don't know, init, init, init, init, I don't know, init, init, init
48, parse, parse, parse, print, parse, parse, parse, parse, parse, I don't know, parse, I don't know, parse, I don't know, parse, I don't know, test_parsestreamserverinet
49, create, if, create, create, create, parsexml, create, tangible, create, I don't know, create, I don't know, create, I don't know, tangible, I don't know, create
